Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
שדר 4 ,3106,163,120,3172,92.43,0.00%,0.85397,1.71,0.79,2052
get user from db,14,175,140,209,22.7,0.00%,0.4001,0.02,0,50
JSR223 Sampler,2793,0,0,4,0.43,0.00%,0.76795,0,0,0
שדר 5  ,2787,1197,951,3504,212.74,0.04%,0.76605,3.87,1.95,5175.1
שדר  5 הרצה ,2787,1198,951,3504,213.14,0.04%,0.766,3.87,1.95,5175.3
Debug Sampler,1549,0,0,1,0.21,0.00%,0.42641,0.24,0,574.9
TOTAL,13036,551,0,3504,581.11,0.02%,3.58292,9.69,4.69,2770.1
