Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
פתיחת שדר 4 ,4680,3811,20,16877,1643.53,1.068%,11.62612,23.86,10.68,2101.9
TOTAL,4680,3811,20,16877,1643.53,1.068%,11.62612,23.86,10.68,2101.9
