Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
ביצוע רכישה,9,358,312,356,718,718,284,718,0.000%,.28050,1.48,0.30
הכנה לרכישה,9,358,312,356,718,718,284,718,0.000%,.27999,1.48,0.30
הרכישה עצמה,8,3516,3423,3821,4089,4089,3116,4089,0.000%,.25881,1.15,0.26
TOTAL,26,1330,345,3480,3821,4089,284,4089,0.000%,.80886,4.06,0.86
