Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
כניסה לדף הבית שלט,399,46691,26176,142423,157645,171224,57,177337,9.023%,1.35279,23.91,7.63
Transaction Controller,49,2527,1557,5947,7997,11356,205,11356,2.041%,.17417,0.21,0.10
הרשמה שלט,150,139851,125879,178064,181275,183281,124868,183380,0.000%,.81661,0.63,0.15
רכישה שלט,50,141148,140653,156549,158111,160205,122819,160205,0.000%,.31020,0.01,0.00
שלט הרשמה של מקבל המתנה,1,1394,1394,1394,1394,1394,1394,1394,100.000%,.41237,2.15,1.06
extracToken,1,8,8,8,8,8,8,8,0.000%,125.00000,84.84,0.00
HTTP Request,1,10473,10473,10473,10473,10473,10473,10473,0.000%,.09548,19.34,0.10
TOTAL,651,71890,47276,158076,172697,181370,8,183380,5.837%,2.08307,23.79,7.39
