Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Transaction Controller,17,1302,483,2465,3306,7924,227,7924,23.529%,.04552,0.11,0.04
ביצוע רכישה,41,4189,3544,6116,7897,9775,2736,9775,7.317%,.11432,0.86,0.30
סכהכול,48,29569,24962,40723,41134,407026,1034,407026,12.500%,.11681,4.15,1.51
TOTAL,106,15219,4661,36048,40723,57084,227,407026,12.264%,.25796,5.00,1.81
